,jd,lon,lat,sat,cyc,dir,azif,azim,azia,incf,incm,inca,sigf,sigm,siga,swath,kpf,kpm,kpa,mdis,num
2007-01-01 04:08:56+00:00,2454101.672874746,0.0,0.0,3,0,A,-145.41656494140625,-99.7808609008789,-54.108642578125,53.54025650024414,42.2768440246582,53.43485641479492,-15.092148780822754,-12.552637100219727,-14.427314758300781,1,0.029361598193645477,0.03924880921840668,0.03093210607767105,2.0125019550323486,7
2007-01-02 16:07:05+00:00,2454103.1715961117,0.0,0.0,3,0,D,54.3721923828125,100.00849151611328,145.53787231445312,51.4189453125,40.342071533203125,51.42369079589844,-14.63473129272461,-11.553837776184082,-14.082710266113281,1,0.02863777056336403,0.03593544661998749,0.0435822531580925,0.863376796245575,8
2007-01-04 03:06:54+00:00,2454104.6297997343,0.0,0.0,3,0,A,115.6283950805664,70.73805236816406,25.83526039123535,56.23535919189453,45.065269470214844,56.18553161621094,-14.51463794708252,-12.052081108093262,-14.326034545898438,0,0.026249710470438004,0.032889217138290405,0.04107876121997833,5.658684730529785,7
2007-01-04 17:05:43+00:00,2454105.2123105563,0.0,0.0,3,0,D,-26.150775909423828,-70.95903015136719,-115.94798278808594,54.49090576171875,43.44439697265625,54.62064743041992,-13.083000183105469,-11.015691757202148,-13.144168853759766,0,0.02832293137907982,0.03895796835422516,0.028789201751351357,2.525113821029663,7
2007-01-06 04:05:31+00:00,2454106.6705090976,0.0,0.0,3,0,A,-145.80043029785156,-100.29145050048828,-54.76692199707031,49.41697311401367,38.454898834228516,49.3185920715332,-14.702645301818848,-12.43930435180664,-14.470577239990234,1,0.041871581226587296,0.034968748688697815,0.034319788217544556,3.8258557319641113,7
2007-01-07 16:03:41+00:00,2454108.1692330213,0.0,0.0,3,0,D,53.70668411254883,99.48583221435547,145.14645385742188,55.30672073364258,44.02548599243164,55.321937561035156,-15.210750579833984,-12.780776023864746,-14.967700958251953,1,0.02896600030362606,0.03809923306107521,0.03405774384737015,3.8045973777770996,7
2007-01-09 03:03:34+00:00,2454109.6274773735,0.0,0.0,3,0,A,115.0971908569336,70.18921661376953,25.294219970703125,59.403076171875,48.19811248779297,59.3431510925293,-16.193443298339844,-13.672611236572266,-15.886927604675293,0,0.03833882138133049,0.03440536558628082,0.029803521931171417,7.059247016906738,6
2007-01-09 17:02:21+00:00,2454110.2099661813,0.0,0.0,3,0,D,-26.67917251586914,-71.48917388916016,-116.48917388916016,50.752052307128906,39.88253402709961,50.86935043334961,-13.672142028808594,-11.482885360717773,-13.334150314331055,0,0.031229669228196144,0.04083956778049469,0.031480152159929276,6.510637283325195,6
2007-01-11 04:02:09+00:00,2454111.6681676856,0.0,0.0,3,0,A,-146.19113159179688,-100.81045532226562,-55.42177963256836,44.776729583740234,34.28989028930664,44.684288024902344,-12.843767166137695,-10.44520092010498,-12.483439445495605,1,0.03717225417494774,0.038847666233778,0.030879758298397064,4.801016330718994,7
2007-01-12 16:00:19+00:00,2454113.1668885886,0.0,0.0,3,0,D,53.03335952758789,98.9659423828125,144.76548767089844,58.77810287475586,47.407752990722656,58.79450607299805,-18.009567260742188,-16.10964012145996,-18.55767822265625,1,0.031902652233839035,0.03038773685693741,0.036757804453372955,5.151102066040039,7
2007-01-13 03:20:47+00:00,2454113.639434746,0.0,0.0,3,0,A,117.86343383789062,72.95816040039062,27.906795501708984,39.07093048095703,29.4200382232666,39.06173324584961,-14.684078216552734,-11.864655494689941,-14.159120559692383,0,0.033531732857227325,0.04427886754274368,0.03421977907419205,5.632996559143066,6
2007-01-14 03:00:11+00:00,2454114.6251332643,0.0,0.0,3,0,A,114.56963348388672,69.632080078125,24.736982345581055,62.255374908447266,51.09642028808594,62.18970489501953,-20.088577270507812,-17.842308044433594,-20.1182918548584,0,0.03290070593357086,0.03896179050207138,0.03520558774471283,3.1769707202911377,7
2007-01-14 16:59:00+00:00,2454115.207643496,0.0,0.0,3,0,D,-27.190210342407227,-72.01435852050781,-117.03691864013672,46.52560806274414,35.97888946533203,46.62177658081055,-17.141523361206055,-15.226479530334473,-17.444896697998047,0,0.03243507072329521,0.03961065039038658,0.03405490145087242,6.59220027923584,6
2007-01-15 04:19:30+00:00,2454115.680211899,0.0,0.0,3,0,A,-144.28207397460938,-98.22566986083984,-52.07542419433594,63.436275482177734,52.009033203125,63.3326530456543,-20.495412826538086,-18.387577056884766,-20.68985939025879,1,0.04734411835670471,0.03529282659292221,0.0400419719517231,5.365970134735107,7
2007-01-16 03:58:45+00:00,2454116.665801957,0.0,0.0,3,0,A,-146.58523559570312,-101.32762908935547,-56.078460693359375,39.518089294433594,29.772830963134766,39.434146881103516,-15.942130088806152,-13.678693771362305,-15.856106758117676,1,0.036062709987163544,0.03934551775455475,0.04218218848109245,0.5533166527748108,8
2007-01-16 16:17:39+00:00,2454117.17893235,0.0,0.0,3,0,D,56.32021713256836,101.5505599975586,146.70120239257812,36.761695861816406,27.495967864990234,36.77169418334961,-15.150503158569336,-12.845483779907227,-15.313175201416016,1,0.027645964175462723,0.0395531952381134,0.027096837759017944,1.7400838136672974,4
2007-01-17 15:56:54+00:00,2454118.1645224774,0.0,0.0,3,0,D,52.35178756713867,98.45124816894531,144.3910675048828,61.896873474121094,50.50261306762695,61.90687561035156,-19.270095825195312,-17.14849281311035,-19.24867820739746,1,0.032608069479465485,0.030533555895090103,0.03461485728621483,3.217620849609375,7
2007-01-18 03:17:24+00:00,2454118.6370907645,0.0,0.0,3,0,A,117.28974914550781,72.40132141113281,27.4128360748291,44.157508850097656,33.8206901550293,44.13844680786133,-16.161701202392578,-13.330764770507812,-15.541131019592285,0,0.03143452852964401,0.036017365753650665,0.03416278585791588,3.6873369216918945,7
2007-01-18 17:16:11+00:00,2454119.219578681,0.0,0.0,3,0,D,-24.547780990600586,-69.3672103881836,-114.3961181640625,63.3504638671875,52.347164154052734,63.51936340332031,-19.017364501953125,-16.780963897705078,-18.704965591430664,0,0.030090797692537308,0.03546027094125748,0.035389117896556854,6.5738935470581055,4
2007-01-19 16:55:37+00:00,2454120.2052991325,0.0,0.0,3,0,D,-27.6866512298584,-72.53462219238281,-117.59628295898438,41.77983474731445,31.777902603149414,41.85420608520508,-14.304001808166504,-12.279065132141113,-14.565974235534668,0,0.03493417799472809,0.0353156253695488,0.03533967584371567,6.675171375274658,5
